B66C23/00 卷扬;提升;牵引;起重机;用于起重机的载荷吊挂元件或装置;起重机，如各种用途起重机;
B24B41/06 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削机床或装置的部件，比如机架，床身;工件支架;
B66B23/22 卷扬;提升;牵引;升降机;自动扶梯或移动人行道;自动扶梯或移动人行道的零部件;扶手栏杆;
B61G3/00 铁路;专门适用于铁路车辆的连接器;包括形状相似的啮合部件，而不需使用任何附加元件或构件的连接器;
B21B1/08 金属机械加工;金属冲压;金属的轧制;金属轧制的方法或制造实心半成品或成型截面的轧机;轧制特殊截面形状的工件，如角钢;
B28C5/42 加工水泥、黏土或石料;制造水泥与其他材料混合物的设备或方法，例如与泥浆，砂浆;专门适用于装在车上用于在运输时搅拌的装置;
B28C5/42 加工水泥、黏土或石料;制造水泥与其他材料混合物的设备或方法，例如与泥浆，砂浆;专门适用于装在车上用于在运输时搅拌的装置;
B60P3/16 一般车辆;适用于货运或运输、装载或包容特殊货物或物体的车辆;用于载运搅拌好的混凝土，例如具有转鼓的;
B66B15/00 运输;提升;升降机;矿井提升机卷扬装置的主要部件;
B42D1/08 装订;图册;书;书籍封皮;书或其他装订成册的制品;图册;
B23G5/18 金属加工;螺纹切制;螺钉、螺栓头或螺母的加工;螺纹切制刀具;铣刀;
B65G31/00 运输;输送;运输装置，装载或倾卸用输送机;物件或固体物料机械抛料机;
B61G9/00 运输;铁路;专门适用于铁路车辆的牵引装置或缓冲装置;牵引装置;
B62D35/00 运输;无轨陆用车辆;机动车;挂车;以流线型为特点的车身;
B60K25/00 运输;车辆动力装置或传动装置;车辆辅助驱动装置;辅助驱动装置;
B23F17/00 机床;其他类目中不包括的金属加工;齿轮或齿条的制造;加工齿轮的专用方法或机床;
B60N2/00 运输;一般车辆;用于车辆的特殊位置;专门适用于车辆的座椅;车辆上座椅的布置或安装;
B64D29/00 飞行器;航空;用于与飞机配合或装到飞机上的设备;动力装置短舱、整流装置或整流罩;
B64D29/00 飞行器;航空;动力装置在飞机中的配置或安装;动力装置短舱、整流装置或整流罩;
B24B51/00 磨削;用于磨削的机床、装置或工艺;用于磨削工件时一系列的单个步骤的自动控制装置;
B42B5/00 装订;特种印刷品;永久性装订;单张纸、纸叠或帖码的永久性装订;
B66C25/00 运输;提升;起重机;用于起重机的载荷吊挂元件或装置;起重机;
B61D13/00 运输;铁路;铁路车辆的种类;有轨电车;
B23K1/00 金属加工;钎焊或脱焊;焊接;钎焊，如硬钎焊;
B43K19/02 书写或绘图器具;办公用品;非活动铅笔;铅笔;彩色铅笔;
B23K103/12 金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铜或铜合金;
B23K103/06 金属加工;焊接;被钎焊、焊接或切割的材料;铁和黑色合金;铸铁合金;
B23K103/10 金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铝或铝合金;
B41F5/00 印刷;印刷机械或印刷机;凸版轮转印刷机;
B22D17/14 铸造;金属铸造;用相同工艺或设备的其他物质的铸造;带有真空压铸模型腔的压铸机;
B60T15/02 一般制动控制系统或其部件;装在动力制动系统内的阀的结构;控制阀和放气阀;
B41L27/00 印刷;模印机;地址印刷机或类似的系列印刷机;油墨的配置或装置;
B62B13/16 雪橇;有滑板的雪橇;可收缩或可折叠的雪橇;
B21D17/02 金属冲压;冲压金属;在金属板或管状或空心制品上制作单槽;用压制方法;
B24B21/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;使用磨削或抛光带的机床或装置;
B63G7/02 与船有关的设备;扫雷;扫雷;扫雷装置;消灭水雷的装置;
B42F19/00 特种印刷品;单页的临时装订;文件卡片;合订卡片;
B29C45/00 塑料的加工;塑料的成型或连接;注射成型;所用的设备;
B63C7/00 用于打捞或搜索水下目标的装置;破损，搁浅或沉没船只的打捞;船只部件或装备的打捞;
B21C29/00 金属冲压;与基本无切削金属加工有关的辅助加工;挤压工件或挤压机部件的冷却或加热;
B24D3/00 磨削、抛光或刃磨用的工具;研磨体或研磨板的物理特征;研磨体或研磨板的成分特征;
B21J11/00 基本上无切削的金属机械加工;金属冲压;锻造;锤击;压制;与锻压机联合的锻锤;
B60C9/00 运输;一般车辆;车用轮胎;轮胎充气;充气轮胎的增强层的配置;
B23B1/00 机床;金属加工;车削;车削或基本上需要使用车床加工的方法;
B01J32/00 一般的物理或化学的方法或装置;化学方法，催化作用;催化剂的一般载体;
B62D113/00 运输;无轨陆用车辆;机动车;挂车;转向机构零件的位置，例如转向盘;
B23P21/00 机床;金属加工;组合加工;有程序控制的组合单元的机械;
B01J35/00 一般的物理或化学的方法或装置;化学或物理方法，催化作用;一般以其形态或物理性质为特征的催化剂;
B01D11/00 一般的物理或化学的方法或装置;分离;溶剂萃取;
B04B15/00 离心装置或离心机;离心机;用于在离心机中排气或形成真空;
B60P3/00 运输;一般车辆;适用于货运、或运输的车辆;
B41N1/02 印刷;印版或箔;印版;用石料制作;
B41F15/00 印刷;印刷机械或印刷机;丝网印刷机;
B61C1/00 运输;铁路;机车;机动有轨车;蒸汽机车或蒸气有轨车;
B62K15/00 运输;无轨陆用车辆;自行车;可伸缩或可折叠的自行车;
B41L19/00 印刷;办公或其他商业用的印刷设备或装置;印刷设备或机械;
B22D11/00 铸造;金属铸造;其他物质的铸造;金属连续铸造;
C01G28/00 化学;冶金;无机化学;砷的化合物;
C21B13/12 冶金;铁的冶金;铁或钢的冶炼;直接还原法炼海绵铁或液体钢;在电炉中;
C09B9/04 化学;染料;有机染料或用于制造染料的有关化合物;还原性染料的隐色体;靛类染料的;
C02F1/02 水、废水、污水或污泥的处理;水、废水或污水的处理;加热法;
C07C261/00 化学;冶金;有机化学;无环或碳环化合物;氰酸的衍生物;
C22C21/00 化学;冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铝基合金;
C07D477/00 化学;有机化学;杂环化合物;杂环化合物;
C07C243/10 化学;有机化学;无环或碳环化合物;含有氮原子之间以单键相连的链的化合物;肼;
C21B15/02 冶金;铁的冶金;铁或钢的冶炼;金属热还原法，如铝热还原法;
C08L91/06 化学;有机高分子化合物;其制备或化学加工;油、脂肪或蜡的组合物;其衍生的组合物;蜡;
C10B47/00 化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;固体含碳物料干馏;
C09J181/02 化学;天然树脂;黏合剂;基于由只在主链中形成含硫的;聚硫醚;聚硫醚-醚;
C08F240/00 化学;有机高分子化合物;烃与矿物油的共聚物，如石油树脂;
C07D251/00 化学;有机化学;杂环化合物;杂环化合物;
C08J3/24 化学;有机高分子化合物;高分子物质的处理或生产过程;高分子的交联;
C05F3/04 肥料制造;有机肥料;人排泄物制成的肥料，如粪肥;由人粪便;
C01G39/00 化学;无机化学;金属的化合物;钼的化合物;
C05F11/00 化学;肥料;肥料制造;有机肥料，如用废物或垃圾制成的肥料;其他有机肥料;
C02F3/00 水、废水、污水或污泥的处理;水、废水或污水的生物处理;
C11C1/00 化学;从脂肪、油或蜡中获得的脂肪酸;从脂、脂油或蜡制备脂肪酸;
C08L63/00 化学;有机高分子化合物;高分子化合物的组合物;环氧树脂的组合物;
C21C5/42 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;转炉构造、结构;
C21C5/38 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;废气或烟尘的去除;
C21C5/30 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;吹炼的调节或控制;
C09D1/06 染料;涂料;填充浆料;基于无机物质的涂料组合物;水泥;
C08G77/00 化学;有机高分子化合物;高分子化合物;在高分子主链中形成的高分子化合物;
C08G77/04 化学;有机高分子化合物;在高分子主链中形成含硅键合;聚硅氧烷;
C09B62/00 化学;染料;涂料;有机染料或用于制造染料的有关化合物;活性染料;
C01D9/00 化学;冶金;无机化学;碱金属，即钠、钾的化合物;钠、钾或一般碱金属的硝酸盐;
C07B39/00 化学;冶金;有机化学;有机化学的一般方法;所用的装置;卤化;
C07J53/00 化学;冶金;有机化学;甾族化合物;甾族化合物;
C05F15/00 化学;肥料;肥料制造;有机肥料;混合肥料;混合物制造的肥料;
C03B19/00 化学;玻璃;玻璃的制造、成型;玻璃成型的其他方法;
C08L55/04 化学;有机高分子化合物;高分子化合物的组合物;由二烯合成得到加聚物;
C07D403/00 化学;有机化学;杂环化合物;杂环化合物;
C22C30/02 合金或有色金属的处理;合金;含铜的;
C22C30/02 合金或有色金属的处理;合金;含铜的;
C08F4/02 化学;仅用碳-碳不饱和键反应得到的高分子化合物;聚合催化剂;载体;
C09B35/02 化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;双偶氮染料;
C09B35/35 化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;三偶氮染料;
C09B35/50 化学;染料;有机染料或用于制造染料的有关化合物;双偶氮或多偶氮染料;四偶氮染料;
C07D201/02 化学;有机化学;杂环化合物;未取代的内酰胺的制备;内酰胺的制备;
C22C25/00 冶金;冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铍基合金;
C07D471/00 化学;有机化学;杂环化合物;含有1个氮原子的六元环的杂环化合物;
C30B1/10 化学;晶体生长;单晶生长;直接自固体的单晶生长;固相反应法;
C30B1/02 化学;晶体生长;单晶生长;直接自固体的单晶生长;应变退火;
C09H7/00 化学;黏合剂;动物胶或明胶的制备;明胶;
C01F15/00 化学;无机化学;金属钍的化合物;钍的化合物;
C07D223/00 化学;有机化学;杂环化合物;杂环化合物，含七元环;
D06F17/00 纺织;织物等的处理;洗涤;纺织品的洗涤;具有固定洗涤容器，洗衣机;
D04B1/00 纺织;编织;针织;不靠使用特殊机器生产织物或产品的纬编针织工艺;使用上述工艺生产的产品;
D06F9/00 纺织;织物等的处理;洗涤;纺织品的洗涤、干燥、熨烫、压平或打折;刷式洗衣机;
D03D23/00 纺织;织造;机织织物;织造方法;一般织造方法;机织法;
D01G33/00 纺织;天然或化学纤维;纺纱;纤维的预处理，如纺纱准备;纤维处理手工设备;
D21F1/02 造纸;造纸机;制造连续纸幅的纸机湿部;长网造纸机的网前箱;
D01G11/00 纺织;天然或化学的纤维;纺纱或纺丝;纤维的预处理;分解含纤维物质，使纤维回收利用;
D02G3/04 纺织;纱线的机械整理;制造纱线的工艺或设备;混纺;
D06F60/00 纺织;织物等的处理;纺织品的干燥;烘干;
D04G3/00 纺织;编织;制造多结地毯或挂毯;多结地毯或挂毯;
D21F3/02 造纸;造纸;制造连续纸幅的造纸机的压榨部;湿压榨;
D06F13/00 织物等的处理;洗涤;纺织品的洗涤;有固定洗涤容器和接触洗涤物的搅拌器的洗衣机;
D04H1/02 纺织;非织造布;制造纺织品;棉絮;衬垫;纤维制成的非织造布;棉絮、衬垫;
D21B1/00 纺织;纤维素的生产;纤维原料或其机械处理;纤维原料或其机械处理;
D06F23/00 洗涤;纺织品的洗涤;带容器的洗衣机，如既能洗涤又能离心脱水的容器;
D06G1/00 纺织;织物等的处理;地毯、小地毯;地毯、小地毯;
D06F37/00 纺织;织物等的处理;洗涤;纺织品的洗涤;洗衣机的零件;洗衣机;
D21H19/00 造纸;造纸;纸的浸渍或涂布;涂布纸;
D21C9/00 造纸;纤维素的生产;制浆药液的再生;纤维素纸浆，例如木浆;
D01D5/00 纺织;纺纱或纺丝;制作化学长丝;长丝、线的生成;
D05B27/00 纺织;缝纫;绣花;缝纫;缝纫机用送布机构;
D04B21/00 纺织;编织;针织;针织;经编针织工艺;
D01H1/00 纺织;化学的纤维;纺纱或纺丝;纺纱或加捻;纺纱机或加捻机;
D04B39/00 纺织;编织;针织;针织;针织工艺，器械或机器;
E21C45/02 土层或岩石的钻进;采矿;采矿或采石;水力采矿方法;产生脉冲流体射流的装置;
E01D19/02 道路、铁路或桥梁的建筑;桥梁;桥梁零件;桥墩;桥台;
E21D5/00 土层或岩石的钻进;采矿;竖井;隧道;平硐;地下室;井筒衬砌;衬砌物;
E21F13/04 采矿;矿井或隧道中的运输;专用于地下条件的运输;自重滑行坡内的;
E21F13/04 采矿;矿井或隧道中的运输;专用于地下条件的运输;斜井内的;
E01B9/00 道路、铁路的建筑;铁路轨道;铁路轨道附件;轨枕;
E21D11/00 固定建筑物;隧道;隧道;其衬砌物;现场制衬砌物;
E03B11/10 固定建筑物;给水;给水池的配置;用于公共的或类似用途的总给水系统;
E04G11/00 固定建筑物;建筑物;模板;用以制作墙、楼板用的模壳，模板;
E04F10/00 固定建筑物;建筑物;建筑物的装修工程;遮阳;天篷;
