O782+.8 化学;晶体学;晶体;生长;工艺;固相;反应;应变;退火法;
TQ431.3 化学;工业;胶粘剂;动物胶;明胶;
TQ134.2 化学;工业;金属;元素;无机;化合物;钍;
O626.5 化学;有机;杂环;化合物;七节;
TM925.33 电工;技术;电气化;电能;应用;家用;电器;其他;设备;清洁;卫生;用电器;洗衣机;
TS184.9 轻工业;手工业;纺织;染整;工业;工艺;针织;新工艺;
TM925.33 电工;技术;电气化;电能;应用;家用电器;其他;电器;设备;清洁;卫生;用电器;洗衣机;
TS105 轻工业;手工业;纺织;工业;染整;一般性;问题;机织;织造;工艺;
TS152.2 轻工业;手工业;纺织;工业;染整;化学;纤维;机械;设备;纺纱;
TS734+.4 轻工业;手工业;造纸;工业;机械;设备;长网;造纸机;
TS102.9 纺织;工业;染整;一般性;问题;纤维;原材料;废纤维;回收;利用;
TS104.5 纺织;工业;一般性;问题;纺纱;理论;工艺;混纺;
TS133+.6 纺织;工业;毛纺织;原毛;初加工;烘干;
J523.3 中国;工艺;美术;织染;服装;刺绣;地毯;挂毯;
TS754 轻工业;手工业;造纸;工业;工艺;上网;压榨;
TM925.33 电工;技术;电气化;电能;应用;家用;电器;其他;设备;清洁;卫生;用;洗衣机;
TS176+.7 轻工业;手工业;纺织;工业;非织造布;各类;服装;衬垫;棉絮;
TQ340.41 化学;工业;纤维;一般性;问题;原料;辅助;物料;再生;
TM925.33 电气化;电能;应用;家用;其他;设备;清洁;卫生;电器;洗衣机;
J523.3 中国;工艺;美术;织染;服装;刺绣;地毯;挂毯;
TM925.33 电气化;电能;应用;家用;电器;设备;清洁;卫生;洗衣机;
TS762.2 造纸;工业;产品;涂布;加工纸;
TS749+.1 轻工业;手工业;造纸;工业;制浆;工艺;各种;纸浆;木浆;
TS146 轻工业;手工业;纺织;工业;染整;丝纺织;丝;纺织物;
[TS976.12] 轻工业;手工业;家务;管理;家庭;缝纫;织补;
TS184.3 纺织;工业;针织;工艺;经编;
TS152.2 纺织;工业;染整;化学;纤维;机械;设备;纺纱;
TS183.2 纺织;工业;染整;针织;用;机具;准备;机械;
TD431 矿业;工程;矿山;机械;水力;采矿;机械化;设备;采掘;
U443.21 交通;运输;公路;桥涵;工程;桥梁;构造;墩台;结构;下部;桥台;
TV554+.14 水利;工程;施工;各种;工种;隧洞;地下;钻爆法;衬砌;
TD521 工业;技术;矿业;工程;矿山;运输;设备;井下;自重;
TD55 工业;技术;矿业;工程;矿山;运输;设备;斜井;
U213.3 交通;运输;铁路;线路;工程;构造;轨枕;
U455.91 公路;运输;隧道;工程;施工;衬砌;
TU991.41 建筑;科学;市政;工程;给水;上水道;工业;企业;给水系统;
TU755.2+1 建筑;科学;施工;各项;工程;工种;模板;各种;
TU226 建筑;科学;设计;房屋;细部;构造;遮阳蓬;雨蓬;
V229+.4 航空;飞机;构造;设计;机械;元件;标准件;锁扣;
U215.5+4 铁路;运输;线路;工程;施工;铺轨;无缝;铺设;
TU731.2 建筑;科学;施工;设备;现场;脚手架;
TU501 工业;技术;建筑;科学;材料;一般性;问题;力学;
TU621 建筑;科学;施工;机械;设备;土工;挖掘;挖掘机;
